"Region";"Year";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad"
"Nederland";"2012";"9869";"322678";"1109246";"1778899";"2809925";"1073230";"213698";"46367"
"Nederland";"2013";"11873";"331189";"1109629";"1789287";"2843664";"1092364";"217334";"46841"
"Nederland";"2014";"11811";"370756";"1113700";"1803383";"2860758";"1102642";"220133";"45662"
"Nederland";"2015";"10874";"384041";"1119171";"1811437";"2876818";"1112137";"222540";"45297"
"Nederland";"2016";"10661";"399264";"1125338";"1817268";"2892256";"1120990";"225219";"45632"
"Nederland";"2017";"5369";"402007";"1139935";"1815662";"2912949";"1134198";"227268";"45535"
"Nederland";"2018";"1637";"407531";"1149157";"1821063";"2931946";"1151659";"229806";"45220"
"Nederland";"2019";"1664";"419849";"1156255";"1831760";"2956936";"1168554";"232209";"44917"
"Nederland";"2020";"1532";"434037";"1168530";"1839412";"2972370";"1192690";"235819";"44732"
"Nederland";"2021";"1348";"447543";"1182123";"1842152";"2984226";"1225204";"237847";"43833"